run_id,observed_at_utc,dataset_label,feature_name,reference_mean,current_mean,reference_std,current_std,reference_missing_rate,current_missing_rate,psi,drift_severity
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,call_failure,7.54,15.49,6.99587625456156,12.738226911532836,0.0,0.0,0.6703300856293961,high
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,complains,0.096,0.42,0.29488627609921647,0.49405280725111306,0.0,0.0,0.0,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,subscription_length,32.38,28.436,8.720762776662006,8.019634222714416,0.0,0.0,0.6146118377767132,high
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,charge_amount,0.89,0.922,1.3436930535074176,1.4752181320313782,0.0,0.0,3.412642545851874e-05,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,seconds_of_use,4458.876,3483.318,4090.017795530909,3226.1588725631655,0.0,0.0,0.09925040807271047,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,frequency_of_use,71.022,50.926,56.74721145585951,41.45278266149043,0.0,0.0,0.19129212176529686,moderate
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,frequency_of_sms,84.668,71.344,132.27977037817465,112.52550663421415,0.0,0.0,0.028190011061569722,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,distinct_called_numbers,23.538,23.538,16.656392972480788,16.656392972480788,0.0,0.0,0.0,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,age_group,2.804,2.804,0.8849577959435141,0.8849577959435141,0.0,0.0,0.0,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,tariff_plan,1.084,1.084,0.27766561975294235,0.27766561975294235,0.0,0.0,0.0,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,status,1.226,1.226,0.418658033600451,0.418658033600451,0.0,0.0,0.0,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,age,30.76,30.76,8.693304728018475,8.693304728018475,0.0,0.0,0.0,low
6f705ea7-10f2-4006-9714-74be4ae02f5a,2026-03-13T22:26:03+00:00,synthetic_api_drift_demo,customer_value,515.9855276000001,438.99331420000004,574.6849152009238,492.1316336503427,0.0,0.0,0.04210613013466116,low
